ISIN,Name,Sector,Country
BMG570071099,Luye Pharma Group Ltd,56201040,CN
BMG5876H1051,Marvell Technology Group Ltd,57101010,BM
BMG6260K1348,nan,,
BMG6359F1032,nan,,
BMG653181005,Nine Dragons Paper (Holdings) Ltd,51302020,HK
BMG6542T1505,Noble Group Holdings Ltd,52202010,HK
BMG667211046,Norwegian Cruise Line Holdings Ltd,53301010,US
BMG668971101,NWS Holdings Ltd,52201020,HK
BMG677491539,Orient Overseas (International) Ltd,52405020,HK
BMG684371393,Pacific Basin Shipping Ltd,52405020,HK
BMG6852T1053,PartnerRe Ltd,55301050,BM
BMG6901M1010,Giordano International Ltd,53403040,HK
BMG7496G1033,Renaissancere Holdings Ltd,55301050,BM
BMG7998G1069,Seadrill Ltd,50103010,BM
BMG8063F1068,Shangri-La Asia Ltd,53301010,HK
BMG8086V1467,Shenzhen International Holdings Ltd,52407030,HK
BMG812761002,Signet Jewelers Ltd,53403040,BM
BMG8162K1137,Sihuan Pharmaceutical Holdings Group Ltd,56201040,CN
BMG8181C1001,Skyworth Group Ltd,57106030,HK
BMG8403G1033,Sinofert Holdings Ltd,51101020,HK
BMG850801025,Stolt-Nielsen Ltd,52405020,GB
BMG8770Z1068,Texwinca Holdings Ltd,53202010,HK
BMG8984D1074,TPV Technology Ltd,57106010,HK
BMG9001E1286,Liberty Latin America Ltd,58401020,US
BMG9319H1025,Validus Holdings Ltd,55301050,BM
BMG9618E1075,White Mountains Insurance Group Ltd,55301020,US
BMG982941046,XL Group Ltd,55301020,BM
BMG988031446,Yue Yuen Industrial (Holdings) Ltd,53202030,HK
BRABEVACNOR1,Ambev SA,54101010,BR
BRAEDUACNOR9,Anhanguera Educacional Participacoes SA,63101010,BR
BRRAILACNOR9,Rumo SA,52405030,BR
BRABEVACNOR1,Ambev SA,54101010,BR
BRAMILACNOR0,Amil Participacoes SA,56102020,BR
BRARCZACNPB3,Aracruz Celulose SA,51301020,BR
BRARTRACNOR3,Arteris SA,52407030,BR
BRB3SAACNOR6,B3 SA Brasil Bolsa Balcao,55102050,BR
BRBBASACNOR3,Banco do Brasil SA,55101010,BR
BRBBDCACNOR1,Banco Bradesco SA,55101010,BR
BRBBDCACNOR1,Banco Bradesco SA,55101010,BR
BRBBSEACNOR5,BB Seguridade Participacoes SA,55301010,BR
BRBISAACNOR8,Tegra Incorporadora SA,60101010,BR
BRBNCAACNOR2,Banco Nossa Caixa SA,55101010,BR
BRBOVHACNOR5,Bovespa Holding SA,55102050,BR
BRBPACACNOR7,Banco BTG Pactual SA,55102010,BR
BRBRAPACNOR5,Bradespar SA,55601010,BR
BRBRDTACNOR1,Petrobras Distribuidora SA,50102030,BR
BRBRFSACNOR8,BRF SA,54102020,BR
BRBRKMACNOR1,Braskem SA,51101010,BR
BRBRMLACNOR9,BR Malls Participacoes SA,60101010,BR
BRBRPRACNOR9,BR Properties SA,60101010,BR
BRBRSRACNOR3,Banco do Estado do Rio Grande do Sul SA,55101010,BR
BRBRTPACNOR5,Brasil Telecom Participacoes SA,58401010,BR
BRBRTPACNPR2,Brasil Telecom Participacoes SA,58401010,BR
BRBTOWACNOR8,B2W Companhia Digital,53402010,BR
BRCCROACNOR2,CCR SA,52407030,BR
BRCESPACNOR3,CESP Companhia Energetica de Sao Paulo,59101020,BR
BRCGASACNOR0,Companhia de Gas de Sao Paulo Comgas,59102010,BR
BRCIELACNOR3,Cielo SA,52203040,BR
BRCMIGACNOR6,Companhia Energetica de Minas Gerais CEMIG,59101010,BR
BRCOGNACNOR2,Cogna Educacao SA,63101010,BR
BRCPFEACNOR0,CPFL Energia SA,59101010,BR
BRCPLEACNOR8,Companhia Paranaense de Energia,59101010,BR
BRCRFBACNOR2,Atacadao SA,54301020,BR
BRCRUZACNOR0,Souza Cruz Ltda,54102030,BR
BRCSANACNOR6,Cosan SA,50102030,BR
BRCSMGACNOR5,Companhia de Saneamento de Minas Gerais Copasa MG,59103010,BR
BRCSNAACNOR6,Companhia Siderurgica Nacional,51201020,BR
BRCTIPACNOR2,nan,,
BRCTNMACNPR6,Companhia de Tecidos Norte de Minas COTEMINAS,53202010,BR
BRCYREACNOR7,Cyrela Brazil Realty SA Empreendimentos e Particip,60101010,BR
BRDASAACNOR1,Diagnosticos da America SA,56102010,BR
BRDTEXACNOR3,Duratex SA,51301010,BR
BRDTEXACNOR3,Duratex SA,51301010,BR
BRECORACNOR8,Ecorodovias Infraestrutura e Logistica SA,52407030,BR
BREGIEACNOR9,Engie Brasil Energia SA,59101020,BR
BRELETACNOR6,Centrais Eletricas Brasileiras SA,59101010,BR
